Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
287.0,Neemias Queta,25.0,BOS,C,49.0,6.0,700.0,15.7,0.658,0.018,0.286,11.2,18.0,14.6,6.7,1.1,4.3,13.7,13.7,1.4,1.1,2.5,0.171,-1.9,0.8,-1.1,0.2,
288.0,Cam Whitmore,20.0,HOU,SF,41.0,1.0,699.0,14.3,0.524,0.46,0.192,4.4,15.4,9.8,8.4,1.9,1.5,9.1,23.8,0.3,1.0,1.3,0.09,-0.1,-0.3,-0.3,0.3,
289.0,Kyle Anderson,31.0,2TM,PF,47.0,4.0,699.0,14.6,0.518,0.271,0.214,6.2,16.9,11.4,20.9,2.1,3.2,10.2,15.5,0.8,1.0,1.9,0.128,-0.5,2.3,1.8,0.7,
289.0,Kyle Anderson,31.0,GSW,PF,36.0,3.0,541.0,14.8,0.522,0.308,0.16,5.1,16.8,10.8,21.0,2.3,3.5,10.0,15.5,0.6,0.9,1.5,0.13,-0.2,2.5,2.3,0.6,
289.0,Kyle Anderson,31.0,MIA,SF,11.0,1.0,158.0,13.8,0.501,0.122,0.439,9.8,17.1,13.5,20.6,1.3,2.4,10.9,15.4,0.2,0.2,0.4,0.121,-1.4,1.8,0.4,0.1,
290.0,Jaden Hardy,22.0,DAL,SG,46.0,3.0,697.0,9.9,0.54,0.482,0.195,1.3,9.6,5.5,13.5,1.5,0.6,15.8,24.8,-0.7,0.4,-0.3,-0.018,-3.2,-1.8,-5.0,-0.5,
291.0,Thomas Bryant,27.0,2TM,C,46.0,5.0,694.0,18.7,0.63,0.432,0.179,11.3,19.4,15.4,10.0,1.4,3.6,8.3,17.3,1.6,0.8,2.4,0.168,1.8,-0.2,1.6,0.6,
291.0,Thomas Bryant,27.0,MIA,C,10.0,0.0,115.0,15.8,0.624,0.607,0.393,5.8,24.5,15.2,4.9,0.4,7.5,5.7,13.5,0.2,0.2,0.4,0.168,-1.1,1.0,-0.1,0.1,
291.0,Thomas Bryant,27.0,IND,C,36.0,5.0,579.0,19.3,0.631,0.408,0.15,12.5,18.4,15.5,11.0,1.6,2.8,8.7,18.0,1.4,0.6,2.0,0.168,2.3,-0.4,1.9,0.6,
292.0,Lindy Waters III,27.0,2TM,SG,44.0,9.0,684.0,8.4,0.496,0.733,0.051,2.6,13.0,7.6,8.5,1.7,1.4,7.5,14.7,0.0,0.8,0.8,0.054,-3.6,0.3,-3.3,-0.2,
292.0,Lindy Waters III,27.0,GSW,SG,38.0,9.0,655.0,8.5,0.498,0.722,0.054,2.5,13.6,7.9,8.7,1.6,1.4,7.5,14.5,0.0,0.8,0.8,0.056,-3.5,0.3,-3.2,-0.2,
292.0,Lindy Waters III,27.0,DET,SG,6.0,0.0,29.0,6.7,0.458,0.917,0.0,3.9,0.0,1.9,4.6,3.3,0.0,7.7,18.9,0.0,0.0,0.0,0.003,-5.3,-0.3,-5.6,0.0,
293.0,Immanuel Quickley,25.0,TOR,PG,24.0,24.0,683.0,16.8,0.577,0.498,0.314,1.4,11.4,6.3,29.1,1.0,0.4,10.7,24.8,1.3,0.3,1.6,0.114,2.9,-1.4,1.5,0.6,
294.0,Zach Collins,27.0,2TM,PF,46.0,11.0,677.0,16.6,0.602,0.361,0.296,10.7,18.2,14.5,15.7,1.6,2.6,12.5,17.4,1.4,0.6,2.0,0.142,-0.3,0.9,0.5,0.4,
294.0,Zach Collins,27.0,SAS,C,36.0,4.0,425.0,14.4,0.566,0.348,0.265,9.6,15.6,12.6,17.0,1.6,3.1,13.5,17.1,0.6,0.4,1.0,0.112,-1.6,1.4,-0.2,0.2,
294.0,Zach Collins,27.0,CHI,PF,10.0,7.0,252.0,20.3,0.656,0.381,0.345,12.6,22.6,17.7,13.6,1.7,1.7,11.0,18.0,0.8,0.3,1.0,0.193,1.7,0.0,1.7,0.2,
